,departamento,municipio,capital,cod_ine,poblacion
0,Oruro,Esmeralda,ESMERALDA,40505,2854
1,Potosí,Llallagua,LLALLAGUA,50203,42861
2,Potosí,Caripuyo,CARIPUYO,50702,8503
3,Cochabamba,Aiquile,AIQUILE,30201,24676
4,Potosí,Sacaca,SACACA,50701,19118
5,Potosí,Acasio,ACACIO,51302,6435
6,Oruro,Huanuni,HUANUNI,40701,27975
7,Oruro,Huachacalla,HUACHACALLA,40501,1011
8,Cochabamba,Villa Rivero,VILLA RIVERO,31402,9034
9,La Paz,Chacarilla,CHACARILLA,21803,2282
10,Cochabamba,Arbieto,ARBIETO,30403,23940
11,La Paz,Papel Pampa,PAPEL PAMPA,21802,7402
12,La Paz,Umala,UMALA,21302,8103
13,Oruro,Oruro,ORURO,40101,302643
14,Oruro,Huayllamarca,HUAYLLAMARCA,41601,5715
15,La Paz,San Pedro de Curahuara,SAN PEDRO DE CURAHUARA,21801,9016
16,Cochabamba,Sicaya,SICAYA,30703,5789
17,Santa Cruz,Puerto Quijarro,PUERTO QUIJARRO,71402,20068
18,Cochabamba,Capinota,CAPINOTA,30701,21644
19,Cochabamba,Arque,ARQUE,30601,10947
20,La Paz,Corocoro,CORO CORO,20301,9498
21,Cochabamba,San Benito,SAN BENITO,31403,17085
22,La Paz,Sapahaqui,SAPAHAQUI,20902,12917
23,La Paz,Cairoma,CAIROMA,20905,10870
24,La Paz,Colquiri,COLQUIRI,21004,20835
25,La Paz,Ichoca,ICHOCA,21005,8368
26,Santa Cruz,La Guardia,LA GUARDIA,70104,177735
27,Santa Cruz,Moromoro,MORO MORO,70803,2541
28,Santa Cruz,El Torno,EL TORNO,70105,63298
29,Santa Cruz,Samaipata,SAMAIPATA,70901,11731
30,Chuquisaca,San Lucas,SAN LUCAS,10702,33632
31,Chuquisaca,Culpina,CULPINA,10902,18801
32,Chuquisaca,Incahuasi,INCAHUASI,10703,14293
33,Santa Cruz,San Juan,SAN JUAN DE YAPACANI,70404,10692
34,Potosí,Tinguipaya,TINGUIPAYA,50102,31591
35,Potosí,San Pedro,SAN PEDRO DE BUENA VISTA,50501,31718
36,La Paz,Villa Ancoraimes,ANCORAIMES,20202,12864
37,La Paz,Puerto Mayor de Carabuco,PUERTO CARABUCO,20403,13869
38,Oruro,Sabaya,SABAYA,40901,8461
39,Beni,Loreto,LORETO,80601,4035
40,Potosí,Tomave,TOMAVE,51202,16329
41,Potosí,Porco,PORCO,51203,11395
42,Tarija,Villa Montes,VILLA MONTES,60303,51916
43,Potosí,Yocalla,YOCALLA,50103,9674
44,Potosí,Urmiri,BELEN DE URMIRI,50104,3529
45,La Paz,Mocomoco,MOCOMOCO,20402,16175
46,Santa Cruz,Saipina,SAIPINA,71302,9702
47,Cochabamba,Omereque,OMEREQUE,30203,5850
48,Santa Cruz,Porongo,PORONGO,70103,17047
49,Santa Cruz,Santa Cruz de la Sierra,SANTA CRUZ DE LA SIERRA,70101,1722480
50,Beni,San Ignacio,SAN IGNACIO,80501,22564
51,Beni,San Javier,SAN JAVIER(BNI),80102,5906
52,Santa Cruz,San Pedro,SAN PEDRO,71005,24077
53,La Paz,Cajuata,CAJUATA,21003,12283
54,La Paz,Inquisivi,INQUISIVI,21001,15198
55,La Paz,Irupana,IRUPANA (VILLA DE LANZA),21102,19355
56,La Paz,Chulumani,CHULUMANI (V.  DE LA LIBERTAD),21101,21619
57,Oruro,Poopó,POOPO,40601,8032
58,Oruro,Totora,TOTORA(ORR),41301,5726
59,Potosí,Betanzos,BETANZOS,50301,31922
60,Oruro,Turco,TURCO,40402,5812
61,Oruro,Todos Santos,TODOS SANTOS,41502,1069
62,Santa Cruz,Concepción,CONCEPCION,71101,24070
63,Santa Cruz,Santa Rosa,SANTA ROSA DEL SARA,70602,23834
64,Beni,Huacaraje,HUARACAJE,80803,4577
65,Oruro,La Rivera,LA RIVERA,41501,581
66,Tarija,Entre Ríos,ENTRE RIOS  TRJ,60601,24107
67,Beni,San Joaquín,SAN JOAQUIN,80701,8038
68,Beni,San Ramón,SAN RAMON BENI,80702,5216
69,La Paz,Tiahuanacu,TIAWANACU,20803,12757
70,Potosí,Colquechaca,COLQUECHACA,50401,35997
71,Potosí,Pocoata,POCOATA,50403,31517
72,Cochabamba,Quillacollo,QUILLACOLLO,30901,169360
73,Cochabamba,Sacaba,SACABA,31001,208913
74,Cochabamba,Tiquipaya,TIQUIPAYA,30903,65881
75,Cochabamba,Colcapirhua,COLCAPIRHUA,30905,59172
76,Cochabamba,Sipesipe,SIPE SIPE,30902,47135
77,Cochabamba,Vinto,VINTO,30904,62131
78,Cochabamba,Tarata,TARATA,30401,8722
79,Cochabamba,Totora,TOTORA(CBBA),31201,17372
80,Santa Cruz,Buena Vista,BUENA VISTA,70401,13184
81,Santa Cruz,San Carlos,SAN CARLOS,70402,23629
82,Beni,Magdalena,MAGDALENA,80801,13077
83,Santa Cruz,Portachuelo,PORTACHUELO,70601,19735
84,Potosí,San Antonio de Esmoruco,SAN ANTONIO DE ESMORUCO,51003,2828
85,Tarija,Uriondo,URIONDO (A,60401,15595
86,Potosí,Mojinete,MOJINETE,51002,1660
87,Tarija,Yacuiba,YACUIBA,60301,103723
88,Tarija,Yunchará,YUNCHARA,60402,5621
89,Tarija,Caraparí,CARAPARI,60302,17279
90,Tarija,San Lorenzo,SAN LORENZO(TJA),60501,25796
91,Tarija,El Puente,EL PUENTE(TJA),60502,11920
92,Potosí,Toro Toro,TORO TORO,50502,11088
93,Potosí,San Agustín,SAN AGUSTIN,51601,1712
94,Tarija,Tarija,TARIJA,60101,268387
95,Potosí,San Pablo,SAN PABLO DE LIPEZ,51001,4118
96,Chuquisaca,Las Carreras,LAS CARRERAS,10903,4412
97,Chuquisaca,Villa Abecia,CAMATAQUI (C. VILLA ABECIA),10901,4022
98,Cochabamba,Morochata,MOROCHATA,30302,13009
99,Oruro,Carangas,CARANGAS,41503,891
100,Oruro,Yunguyo del Litoral,YUNGUYO DE LITORAL,40504,546
101,Oruro,Cruz de Machacamarca,CRUZ DE MACHACAMARCA,40503,3280
102,Oruro,Antequera,ANTEQUERA,40603,3070
103,La Paz,Nazacara de Pacajes,NAZACARA DE PACAJES,20307,699
104,La Paz,Caquiaviri,CAQUIAVIRI,20302,15427
105,Oruro,Belén de Andamarca,BELEN DE ANDAMARCA,41202,2127
106,Oruro,Corque,CORQUE,40301,9329
107,Potosí,Vitiche,VITICHI,50602,10332
108,La Paz,Luribay,LURIBAY,20901,12313
109,Potosí,Arampampa,ARAMPAMPA,51301,3761
110,Cochabamba,Sacabamba,SACABAMBA,30404,4508
111,Cochabamba,Anzaldo,ANZALDO,30402,7415
112,Cochabamba,Toco,TOCO,30802,7420
113,Cochabamba,Villa Gualberto Villarroel,CUCHUMUELA (V,31405,2951
114,Cochabamba,Tacachi,TACACHI,31404,1424
115,Cochabamba,Cliza,CLIZA,30801,23987
116,Cochabamba,Tacopaya,TACOPAYA,30602,10582
117,Cochabamba,Santivañez,SANTIVAÑES,30702,7295
118,Oruro,Paria,SORACACHI,40104,11598
119,La Paz,Collana,COLLANA,21307,4777
120,Cochabamba,Tolata,TOLATA,30803,6183
121,Pando,Cobija,COBIJA,90101,78555
122,Oruro,Eucaliptus,EUCALIPTUS,41101,4972
123,La Paz,Santiago de Callapa,SANTIAGO DE CALLAPA,20308,6939
124,Cochabamba,Cochabamba,COCHABAMBA,30101,724126
125,Oruro,Caracollo,CARACOLLO,40102,23933
126,La Paz,Catacora,CATACORA,21902,3891
127,La Paz,Yaco,YACO,20903,7557
128,La Paz,Calacoto,CALACOTO,20303,10203
129,Cochabamba,Arani,ARANI,30501,10046
130,Cochabamba,Punata,PUNATA,31401,33011
131,La Paz,Sicasica,SICA SICA (VILLA AROMA),21301,32098
132,La Paz,Patacamaya,PATACAMAYA,21305,23665
133,La Paz,Colquencha,COLQUENCHA,21306,10674
134,La Paz,Santiago de Machaca,SANTIAGO DE MACHACA,21901,4522
135,Pando,Sena,SENA,90303,11338
136,Pando,San Lorenzo,SAN LORENZO(PND),90302,8710
137,Beni,Santa Rosa,SANTA ROSA,80303,10379
138,La Paz,Malla,MALLA,20904,6195
139,La Paz,Comanche,COMANCHE,20304,3968
140,La Paz,Calamarca,CALAMARCA,21304,12352
141,La Paz,Viacha,VIACHA,20801,90880
142,La Paz,Villa Libertad Licoma,VILLA LIBERTAD LICOMA PAMPA,21006,5819
143,La Paz,Quime,QUIME,21002,8972
144,La Paz,Huatajata,SANTIAGO DE HUATA,20205,9158
145,La Paz,Laja,LAJA,21202,26225
146,La Paz,Mecapaca,MECAPACA,20103,19014
147,La Paz,Palca,PALCA,20102,17707
148,La Paz,Achocalla,ACHOCALLA,20104,22883
149,La Paz,El Alto,EL ALTO,20105,943558
150,La Paz,Yanacachi,YANACACHI,21103,8203
151,Cochabamba,Tapacarí,TAPACARI,31101,25852
152,La Paz,Desaguadero,DESAGUADERO,20804,7708
153,La Paz,Jesús de Machaka,JESUS DE MACHACA,20806,15416
154,La Paz,Puerto Mayor de Guaqui,GUAQUI,20802,7313
155,La Paz,Tito Yupanqui,TITO YUPANQUI (PARQUIPUJIO),21703,6580
156,La Paz,Pucarani,PUCARANI,21201,29799
157,La Paz,Combaya,COMBAYA,20605,4020
158,La Paz,Coroico,COROICO,21401,20691
159,La Paz,Coripata,CORIPATA,21402,18873
160,La Paz,Quiabaya,QUIABAYA,20604,2640
161,La Paz,Aucapata,AUCAPATA,20503,5771
162,La Paz,Ayo Ayo,AYO AYO,21303,7992
163,Chuquisaca,Azurduy,AZURDUY,10201,10948
164,La Paz,Tipuani,TIPUANI,20606,10449
165,La Paz,Nuestra Señora de La Paz,LA PAZ,20101,816044
166,La Paz,Sorata,SORATA,20601,26065
167,La Paz,La Asunta,LA ASUNTA,21105,42644
168,La Paz,Chuma,CHUMA,20501,11256
169,La Paz,Guanay,GUANAY,20602,16011
170,La Paz,Teoponte,TEOPONTE,20608,10063
171,La Paz,Mapiri,MAPIRI,20607,14854
172,La Paz,Charazani,GRAL.  J. PEREZ  (CHARAZANI),21601,13482
173,Potosí,"Caiza ""D""","CAIZA ""D""",51102,11707
174,La Paz,Copacabana,COPACABANA,21701,15374
175,Chuquisaca,Tarvita,TARVITA,10202,14688
176,Potosí,Chaquí,CHAQUI,50302,10134
177,Potosí,Puna,PUNA,51101,21225
178,Potosí,Ckochas,CKOCHAS,51103,15121
179,Chuquisaca,El Villar,EL VILLAR,10405,4644
180,Chuquisaca,Huacaya,HUACAYA (VILLA DE HUACAYA),11002,2650
181,La Paz,Tacacoma,TACACOMA,20603,8847
182,Chuquisaca,Huacareta,HUACARETA,10502,8351
183,Chuquisaca,Monteagudo,MONTEAGUDO,10501,27119
184,Potosí,Potosí,POTOSI,50101,220260
185,La Paz,San Pedro de Tiquina,SAN PEDRO DE TIQUINA,21702,5789
186,Santa Cruz,Lagunillas,LAGUNILLAS,70701,5664
187,Chuquisaca,Alcalá,VILLA ALCALA,10404,5196
188,Chuquisaca,Sopachui,SOPACHUY,10403,7870
189,Chuquisaca,Villa Ricardo Mugia - Icla,ICLA,10304,7777
190,Chuquisaca,Yotala,YOTALA,10102,10017
191,Chuquisaca,Yamparáez,YAMPARAEZ,10602,10929
192,Chuquisaca,Tomina,TOMINA,10402,8727
193,Potosí,Ocurí,OCURI,50404,14666
194,Chuquisaca,Tarabuco,TARABUCO,10601,17027
195,Chuquisaca,Zudañez,ZUDAÑEZ,10301,12467
196,La Paz,Curva,CURVA,21602,3760
197,La Paz,Pelechuco,PELECHUCO,20702,7081
198,La Paz,Palos Blancos,PALOS BLANCOS,21104,26809
199,La Paz,Apolo,APOLO,20701,22046
200,Beni,Puerto Menor de Rurrenabaque,RURRENABAQUE,80304,25035
201,La Paz,San Buenaventura,SAN BUENA VENTURA,21502,9453
202,Beni,Santa Ana,SANTA ANA,80401,18216
203,Beni,San Borja,SAN BORJA,80302,44657
204,Beni,Reyes,REYES,80301,14539
205,Pando,Puerto Gonzalo Moreno,PUERTO GONZALO MORENO,90301,9090
206,Beni,Puerto Siles,PUERTO SILES,80703,999
207,Beni,Exaltación,EXALTACION,80402,6607
208,Beni,Riberalta,RIBERALTA,80201,101755
209,Pando,Porvenir,PORVENIR,90102,10967
210,Pando,Bella Flor,BELLA FLOR,90104,4092
211,Pando,San Pedro,SAN PEDRO(PND),90202,3356
212,Pando,Puerto Rico,PUERTO RICO,90201,7247
213,Pando,Santa Rosa,NACEBE (SANTA ROSA DEL ABUNA),90401,2506
214,Pando,Ingavi,INGAVI (HUMAITA),90402,1840
215,Beni,Guayaramerín,GUAYARAMERIN,80202,44446
216,Pando,Villa Nueva,VILLA NUEVA (LOMA ALTA),90502,3209
217,Pando,Santos Mercado,EUREKA (SANTOS MERCADO),90503,2506
218,Pando,Nueva Esperanza,NUEVO MANOA (NUEVA ESPERANZA),90501,2422
219,La Paz,Santiago de Huata,HUARINA,20204,8276
220,La Paz,Puerto Pérez,PUERTO PEREZ,21204,8502
221,Potosí,Chuquihuta Ayllu Jucumani,CHUQUIHUTA AYLLU JUCUMANI,50204,9280
222,Pando,Bolpebra,BOLPEBRA,90103,2368
223,Pando,Filadelfia,FILADELFIA,90203,6149
224,La Paz,Alto Beni,ALTO BENI,22002,12123
225,La Paz,Caranavi,CARANAVI,22001,53622
226,La Paz,Huarina,CHUA COCANI,20203,4475
227,Cochabamba,Bolivar,BOLIVAR,31501,7370
228,La Paz,Chua Cocani,HUATAJATA,20206,4450
229,La Paz,Humanata,HUMANATA,20404,5262
230,Chuquisaca,Villa Vaca Guzmán,VILLA VACA GUZMAN (MUYUPAMPA),11001,10457
231,La Paz,Batallas,BATALLAS,21203,16482
232,Chuquisaca,Padilla,PADILLA,10401,11067
233,Chuquisaca,Mojocoya,MOJOCOYA,10303,8421
234,Santa Cruz,Pucará,PUCARA,70805,1887
235,Chuquisaca,Villa Serrano,VILLA SERRANO,10801,11711
236,Chuquisaca,Macharetí,MACHARETI,11003,7735
237,Santa Cruz,Boyuibe,BOYUIBE,70707,6154
238,Santa Cruz,Cuevo,CUEVO,70704,5358
239,Santa Cruz,Camiri,CAMIRI,70706,36485
240,Cochabamba,Cocapata,COCAPATA,30303,20406
241,Santa Cruz,Vallegrande,VALLEGRANDE,70801,18472
242,Santa Cruz,Gutiérrez,GUTIERREZ,70705,13644
243,Chuquisaca,Sucre,SUCRE,10101,295476
244,Chuquisaca,Presto,PRESTO,10302,14088
245,Santa Cruz,Postrervalle,POSTRER VALLE,70804,2400
246,Santa Cruz,Trigal,TRIGAL,70802,2243
247,Santa Cruz,Quirusillas,QUIRUSILLAS,70904,4092
248,Santa Cruz,Cabezas,CABEZAS,70703,31942
249,Santa Cruz,Cotoca,COTOCA,70102,54851
250,Santa Cruz,Yapacaní,YAPACANI,70403,77152
251,Santa Cruz,Cuatro Cañadas,CUATRO CAÑADAS,71106,28855
252,Santa Cruz,San Ramón,SAN ANTONIO DE LOMERIO,71105,6926
253,Santa Cruz,San Javier,SAN JAVIER(STC),71102,16027
254,Santa Cruz,San Miguel,SAN MIGUEL DE VELASCO,70302,12568
255,Cochabamba,Villa Tunari,VILLA TUNARI,31003,79253
256,Cochabamba,Chimoré,CHIMORE,31204,26855
257,Cochabamba,Tiraque,TIRAQUE (CBBA),31601,21913
258,Cochabamba,Shinahota,SHINAOTA,31602,24264
259,Santa Cruz,Montero,MONTERO,71001,135931
260,Santa Cruz,Ascención de Guarayos,ASCENCION DE GUARAYOS,71501,36383
261,Beni,San Andrés,SAN ANDRES,80602,13358
262,Cochabamba,Vacas,VACAS,30502,9154
263,Cochabamba,Pocona,POCONA,31203,10945
264,Santa Cruz,Okinawa Uno,OKINAWA,70202,14167
265,Santa Cruz,Warnes,WARNES,70201,214246
266,Santa Cruz,General Saavedra,GENERAL SAAVEDRA,71002,14065
267,Santa Cruz,Pailón,PAILON,70502,47473
268,Santa Cruz,Fernández Alonso,FERNANDEZ ALONSO,71004,19808
269,Santa Cruz,Mineros,MINEROS,71003,27261
270,Santa Cruz,Pampa Grande,PAMPA GRANDE,70902,10558
271,Santa Cruz,Mairana,MAIRANA,70903,13197
272,Cochabamba,Puerto Villarroel,PUERTO VILLARROEL,31205,52357
273,Santa Cruz,Colpa Bélgica,COLPA BELGICA,70603,6132
274,Santa Cruz,Puerto Suarez,PUERTO SUAREZ,71401,24409
275,Santa Cruz,El Carmen Rivero Tórrez,CARMEN RIVERO TORREZ,71403,8056
276,Santa Cruz,Roboré,ROBORE,70503,16308
277,Santa Cruz,San Matías,SAN MATIAS,71201,15960
278,Santa Cruz,Charagua,CHARAGUA,70702,40476
279,Santa Cruz,San José,SAN JOSE DE CHIQUITOS,70501,44739
280,Santa Cruz,San Rafael,SAN RAFAEL,70303,7444
281,Cochabamba,Ayopaya,AYOPAYA (V.  DE INDEPENDENCIA),30301,24898
282,Santa Cruz,San Ignacio,SAN IGNACIO DE VELASCO,70301,63186
283,Santa Cruz,Urubicha,URUBICHA,71502,10233
284,Beni,Baures,BAURES,80802,6247
285,Beni,Trinidad,TRINIDAD,80101,130657
286,Santa Cruz,San Antonio de Lomerio,SAN JULIAN,71104,67701
287,Cochabamba,Pojo,POJO (CBBA),31202,10419
288,Cochabamba,Entre Ríos,ENTRE RIOS CBBA,31206,36351
289,Chuquisaca,Poroma,POROMA,10103,18947
290,Cochabamba,Colomi,COLOMI,31002,22514
291,Cochabamba,Alalay,ALALAY,31303,3457
292,Cochabamba,Vila Vila,VILA VILA,31302,6680
293,La Paz,Ixiamas,IXIAMAS,21501,9916
294,La Paz,Ayata,AYATA,20502,8693
295,Potosí,Uyuni,UYUNI,51201,39494
296,La Paz,Waldo Ballivian,WALDO BALLIVIAN,20306,5569
297,Oruro,Curahuara de Carangas,CURAHUARA DE CARANGAS,40401,3435
298,Oruro,Choquecota,CHOQUE COTA,40302,1946
299,Oruro,Escara,ESCARA,40502,4463
300,Potosí,Chayanta,CHAYANTA,50202,17470
301,Potosí,Tupiza,TUPIZA,50801,48591
302,Potosí,Atocha,ATOCHA,50802,12543
303,Potosí,San Pedro de Quemes,SAN PEDRO DE QUEMES,50902,1289
304,Santa Cruz,San Julián,SAN RAMON SCZ,71103,9295
305,Santa Cruz,El Puente,EL PUENTE(STC),71503,16977
306,Santa Cruz,Comarapa,COMARAPA,71301,17511
307,Tarija,Bermejo,BERMEJO,60202,40404
308,Chuquisaca,Villa Charcas,VILLA CHARCAS,10704,17879
309,La Paz,Puerto Acosta,PUERTO ACOSTA,20401,11052
310,La Paz,Escoma,ESCOMA,20405,7168
311,La Paz,Charaña,CHARAÑA,20305,3466
312,La Paz,Achacachi,ACHACACHI,20201,47186
313,La Paz,Taraco,TARACO,20807,6700
314,La Paz,La (Marka) San Andrés de Machaca,SAN ANDRES DE MACHACA,20805,6114
315,Potosí,Tacobamba,TACOBAMBA,50303,11251
316,Potosí,Uncía,UNCIA,50201,24686
317,Potosí,Ravelo,RAVELO,50402,20939
318,Cochabamba,Mizque,MIZQUE,31301,29059
319,Cochabamba,Pasorapa,PASORAPA,30202,7284
320,Potosí,Cotagaita,COTAGAITA,50601,34088
321,Chuquisaca,Camargo,CAMARGO,10701,17662
322,Potosí,Villazón,VILLAZON,51501,50004
323,Tarija,Padcaya,PADCAYA,60201,18582
324,Potosí,"Colcha ""K""","COLCHA ""K""",50901,15977
325,Oruro,Chipaya,CHIPAYA,40903,2090
326,Oruro,Coipasa,COIPASA,40902,951
327,Oruro,Santuario de Quillacas,SANTUARIO DE QUILLACAS,40202,4474
328,Oruro,Andamarca,SANTIAGO DE ANDAMARCA,41201,5380
329,Oruro,Machacamarca,MACHACAMARCA,40702,5082
330,Oruro,El Choro,EL CHORO,40103,11199
331,Oruro,Pazña,PAZÑA,40602,6054
332,Oruro,Challapata,CHALLAPATA,40201,31259
333,Potosí,Llica,LLICA,51401,5301
334,Oruro,Toledo,TOLEDO,41001,11653
335,Oruro,Salinas de Garcí Mendoza,SALINAS DE GARCIA MENDOZA,40801,14020
336,Potosí,Tahua,TAHUA,51402,1441
337,Oruro,Santiago de Huari,SANTIAGO DE HUARI,41401,16633
338,Oruro,Pampa Aullagas,PAMPA AULLAGAS,40802,2852
